accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
DRR053207,34.1928,135.0715,5.0,5.0,0
DRR053208,34.1928,135.0715,5.0,5.0,0
DRR053209,34.1928,135.0715,5.0,5.0,0
DRR053210,34.1928,135.0715,5.0,5.0,0
DRR053211,34.1928,135.0715,5.0,5.0,0
DRR053212,34.1928,135.0715,5.0,5.0,0
DRR053213,34.1928,135.0715,5.0,5.0,0
DRR053214,34.1928,135.0715,5.0,5.0,0
DRR053215,34.1928,135.0715,5.0,5.0,0
DRR066261,38.25,141.49,0.0,0.0,1
DRR066262,38.25,141.75,0.0,0.0,1
DRR066263,38.25,142.0,0.0,0.0,1
DRR066264,38.25,142.33,0.0,0.0,1
DRR066265,38.25,142.67,0.0,0.0,1
DRR066266,39.2,142.17,0.0,0.0,1
DRR066267,39.2,142.5,0.0,0.0,1
DRR066268,39.2,141.93,0.0,0.0,1
DRR067250,35.199,139.392,0.0,0.0,0
DRR067251,35.199,139.392,0.0,0.0,1
DRR067252,35.199,139.392,0.0,0.0,0
DRR067253,35.199,139.392,0.0,0.0,1
DRR067254,35.199,139.392,0.0,0.0,1
DRR067255,47.0122,160.0192,0.0,0.0,0
DRR067256,47.0122,160.0192,0.0,0.0,1
DRR067257,47.0122,160.0192,0.0,0.0,0
DRR067258,47.0122,160.0192,0.0,0.0,1
DRR067259,47.0122,160.0192,0.0,0.0,1
DRR067260,46.9718,166.7472,0.0,0.0,0
DRR067261,46.9718,166.7472,0.0,0.0,1
DRR067262,46.9718,166.7472,0.0,0.0,0
DRR067263,46.9718,166.7472,0.0,0.0,1
DRR067264,46.9718,166.7472,0.0,0.0,1
DRR067265,46.9859,-179.4263,0.0,0.0,0
DRR067266,46.9859,-179.4263,0.0,0.0,1
DRR067267,46.9859,-179.4263,0.0,0.0,0
DRR067268,46.9859,-179.4263,0.0,0.0,1
DRR067269,46.9859,-179.4263,0.0,0.0,1
DRR067270,47.0035,-151.4048,0.0,0.0,0
DRR067271,47.0035,-151.4048,0.0,0.0,1
DRR067272,47.0035,-151.4048,0.0,0.0,0
DRR067273,47.0035,-151.4048,0.0,0.0,1
DRR067274,47.0035,-151.4048,0.0,0.0,1
DRR083050,42.15,145.08,10.0,10.0,0
DRR083051,42.15,145.08,10.0,10.0,0
DRR083052,42.15,145.08,10.0,10.0,0
DRR083053,42.15,145.08,10.0,10.0,0
DRR083054,42.15,145.08,30.0,30.0,0
DRR083055,42.15,145.08,30.0,30.0,0
DRR083056,42.15,145.08,30.0,30.0,0
DRR083057,42.15,145.08,30.0,30.0,0
DRR083058,38.0022,147.15,10.0,10.0,0
DRR083059,38.0022,147.15,10.0,10.0,0
DRR083060,38.0022,147.15,10.0,10.0,0
DRR083061,38.0022,147.15,10.0,10.0,0
DRR083062,37.9755,141.3167,1.0,1.0,0
DRR083063,37.9755,141.3167,1.0,1.0,0
DRR083064,37.9755,141.3167,1.0,1.0,0
DRR083065,37.9755,141.3167,1.0,1.0,0
DRR083066,38.032,141.0833,1.0,1.0,0
DRR083067,38.032,141.0833,1.0,1.0,0
DRR083068,38.032,141.0833,1.0,1.0,0
DRR083069,38.032,141.0833,1.0,1.0,0
DRR083070,37.9755,141.3167,10.0,10.0,0
DRR083071,37.9755,141.3167,10.0,10.0,0
DRR083072,37.9755,141.3167,10.0,10.0,0
DRR083073,37.9755,141.3167,10.0,10.0,0
DRR083074,37.9755,141.3167,1.0,1.0,0
DRR083075,37.9755,141.3167,1.0,1.0,0
DRR083076,37.9755,141.3167,1.0,1.0,0
DRR083077,37.9755,141.3167,1.0,1.0,0
DRR083078,38.032,141.0833,18.0,18.0,0
DRR083079,38.032,141.0833,18.0,18.0,0
DRR083080,38.032,141.0833,18.0,18.0,0
DRR083082,38.032,141.0833,1.0,1.0,0
DRR083083,38.032,141.0833,1.0,1.0,0
DRR083084,38.032,141.0833,1.0,1.0,0
DRR083085,38.032,141.0833,1.0,1.0,0
DRR083086,42.15,145.08,10.0,10.0,0
DRR083087,42.15,145.08,10.0,10.0,0
DRR083088,42.15,145.08,10.0,10.0,0
DRR083089,42.15,145.08,10.0,10.0,0
DRR083090,42.15,145.08,20.0,20.0,0
DRR083091,42.15,145.08,20.0,20.0,0
DRR083092,42.15,145.08,20.0,20.0,0
DRR083093,42.15,145.08,20.0,20.0,0
DRR083094,38.0022,147.15,10.0,10.0,0
DRR083095,38.0022,147.15,10.0,10.0,0
DRR083096,38.0022,147.15,10.0,10.0,0
